variant,final_test_acc,stability_std,train_time_s
no_reg,0.9722,0.013733936070915737,125.54352903366089
dropout_0.1,0.9806,0.014903724366748076,126.21436285972595
dropout_0.3,0.9802,0.013208650364228887,126.1410584449768
dropout_0.5,0.9742,0.014458231027495874,126.9831919670105
batchnorm,0.982,0.004160341866294697,135.7311053276062
drop_bn,0.9771,0.014786254878546259,131.65134263038635
l2_wd,0.9771,0.014166396075847144,127.40749311447144
