variant,final_test_acc,stability_std,train_time_s
no_reg,0.5396,0.02618821617954661,139.62166094779968
dropout_0.1,0.5415,0.03213499995677956,141.0234670639038
dropout_0.3,0.5257,0.034125839021024645,140.46441888809204
dropout_0.5,0.4805,0.030543995591059574,141.90158009529114
batchnorm,0.5484,0.025406694218475405,145.09120678901672
drop_bn,0.5004,0.04184973649193558,145.1120228767395
l2_wd,0.5315,0.023021074885610535,149.275719165802
